Out1      Out2     Out3     Out4      Out5     Out6     Class 
0.6392  0.0001  0.3210  0.0200  0.9249  0.5000  0.0000    
0.0039  0.7122  0.1983  0.1500  0.3624  0.7500  0.0000    
0.6039  0.1337  0.3172  0.7300  0.9687  0.0000  0.0000    
0.6902  0.2691  0.4075  0.9500  0.0949  1.0000  0.0000    
0.0039  0.7982  0.1680  0.7300  0.8947  0.7500  0.0000    
0.0039  0.7182  0.3252  0.4000  0.2574  0.0000  0.0000    
0.6706  0.8119  0.4560  0.2600  0.2981  1.0000  0.0000    
0.6706  0.0762  0.3388  0.2300  0.1533  1.0000  0.0000    
0.6941  0.0000  0.2810  0.1900  0.1090  0.0000  0.0000    
0.6235  0.6349  0.3548  0.5700  0.3968  1.0000  0.0000    
0.6824  0.0000  0.2490  0.8800  0.1695  1.0000  0.0000    
0.6824  0.0001  0.0003  0.4100  0.0912  0.0000  0.0000    
0.0039  0.7372  0.2542  0.2400  0.2621  1.0000  0.0000    
0.0039  0.6835  0.3127  0.2700  0.0694  0.7500  0.0000    
0.0039  0.6436  0.3578  0.0000  0.1766  0.7500  0.0000    
0.7804  0.7072  0.4105  0.7600  0.9974  1.0000  0.0000    
0.0039  0.8084  0.2140  0.8900  0.3963  0.0000  0.0000    
0.0039  0.6934  0.2440  0.1500  0.1725  0.0000  0.0000    
0.6549  0.4232  0.3817  0.8300  0.2111  0.0000  0.0000    
0.0039  0.6608  0.3385  0.0000  0.1709  0.7500  0.0000    
0.0039  0.6801  0.2645  0.4000  0.1740  1.0000  0.0000    
0.6588  0.0001  0.3372  0.4000  0.0951  0.2500  0.0000    
0.0039  0.6647  0.3488  0.5500  0.0709  0.5000  0.0000    
0.6824  0.0001  0.4610  0.2300  0.1238  0.2500  0.0000    
0.7098  0.0000  0.2928  0.5100  0.0779  0.0000  0.0000    
0.0039  0.7012  0.3172  0.1800  0.5991  1.0000  0.0000    
0.7137  0.0001  0.2725  0.4400  0.4959  1.0000  0.0000    
0.0039  0.7655  0.2102  0.0000  0.1723  0.0000  0.0000    
0.6549  0.0000  0.2695  0.4100  0.1256  1.0000  0.0000    
0.6471  0.0000  0.2975  0.8200  0.9506  0.5000  0.0000    
0.6471  0.0000  0.3775  0.2600  0.3328  1.0000  0.0000    
0.6667  0.1178  0.4405  0.8700  0.5212  0.2500  0.0000    
0.0039  0.7519  0.2305  0.5300  0.3028  1.0000  0.0000    
0.0039  0.7096  0.3098  0.3700  0.1850  0.2500  0.0000    
0.6627  0.0001  0.2763  0.2500  0.3920  1.0000  0.0000    
0.6784  0.0000  0.2993  0.0700  0.1555  1.0000  0.0000    
0.7373  0.0001  0.3335  0.0700  0.0792  0.2500  0.0000    
0.6431  0.0001  0.2557  0.3100  0.4272  0.7500  0.0000    
0.6510  0.0001  0.2560  0.9400  0.1811  1.0000  0.0000    
0.0039  0.7482  0.4163  0.5100  0.1308  0.0000  0.0000    
0.0039  0.7322  0.3605  0.2200  0.0890  0.0000  0.0000    
0.0039  0.6882  0.2612  0.0000  0.0880  0.7500  0.0000    
0.6431  0.0001  0.2575  0.3300  0.1027  0.0000  0.0000    
0.0039  0.6958  0.2308  0.2500  0.4779  0.0000  0.0000    
0.0039  0.6928  0.3443  0.3000  0.1460  0.7500  0.0000    
0.6824  0.6905  0.3675  0.5100  0.9714  1.0000  0.0000    
0.0039  0.7967  0.1820  0.0000  0.5152  0.2500  0.0000    
0.0039  0.6469  0.2382  0.4700  0.1720  0.5000  0.0000    
0.6863  0.4696  0.5035  0.3000  0.8219  0.2500  0.0000    
0.9216  0.4725  0.4665  0.5800  0.1417  1.0000  0.0000    
0.8863  0.5008  0.5018  0.4800  0.1643  1.0000  0.0000    
0.6588  0.5143  0.3575  0.3700  0.0897  1.0000  0.0000    
0.0039  0.6389  0.2140  0.2100  0.4911  0.0000  0.0000    
0.0039  0.6103  0.2040  0.3000  0.1680  0.7500  0.0000    
0.0039  0.5632  0.3070  0.0900  0.0584  1.0000  0.0000    
0.0039  0.6097  0.2427  0.2600  0.0882  0.7500  0.0000    
0.8588  0.0000  0.2793  0.2600  0.4381  1.0000  0.0000    
0.8078  0.0001  0.3980  0.1000  0.0751  0.7500  0.0000    
0.7059  0.6814  0.1603  0.1400  0.1323  1.0000  0.0000    
0.7020  0.5829  0.2475  0.2000  0.0890  1.0000  0.0000    
0.0039  0.5675  0.2910  0.1200  0.0512  0.7500  0.0000    
0.6392  0.5351  0.3090  0.0000  0.2661  1.0000  0.0000    
0.0039  0.5433  0.2815  0.0000  0.1583  1.0000  0.0000    
0.6549  0.6608  0.2587  0.1600  0.0492  1.0000  0.0000    
0.0039  0.5765  0.2682  0.1200  0.2405  0.7500  0.0000    
0.8431  0.0001  0.3320  0.1800  0.1858  1.0000  0.0000    
0.8549  0.1376  0.3255  0.3800  0.0823  1.0000  0.0000    
0.8275  0.0000  0.5733  0.4700  0.4724  1.0000  0.0000    
0.8627  0.5761  0.2040  0.7700  0.7176  1.0000  0.0000    
0.9451  0.0000  0.5337  0.8100  0.8035  1.0000  0.0000    
0.8078  0.0111  0.4193  0.4800  0.6340  0.0000  0.0000    
0.0039  0.5384  0.3120  0.3100  0.3871  0.0000  0.0000    
0.6941  0.5764  0.3195  0.2000  0.3244  0.7500  0.0000    
0.8510  0.5521  0.3728  0.2100  0.2974  1.0000  0.0000    
0.0039  0.6722  0.2402  0.1100  0.0640  0.2500  0.0000    
0.6078  0.4791  0.5793  0.4000  0.7738  0.0000  0.0000    
0.0039  0.5514  0.2740  0.3100  0.1198  0.7500  0.0000    
0.0039  0.5296  0.3192  0.2200  0.0704  1.0000  0.0000    
0.0039  0.5906  0.3005  0.1000  0.0428  1.0000  0.0000    
0.8039  0.0000  0.3445  0.3400  0.8222  0.2500  0.0000    
0.6784  0.5902  0.5420  0.1200  0.1454  0.7500  0.0000    
0.0039  0.5041  0.4860  0.3000  0.0806  0.0000  0.0000    
0.6510  0.5882  0.3108  0.2400  0.2272  1.0000  0.0000    
0.8392  0.0001  0.3023  0.2100  0.7556  0.5000  0.0000    
0.8353  0.0001  0.3543  0.0600  0.1430  1.0000  0.0000    
0.0039  0.5836  0.3145  0.2500  0.1667  1.0000  0.0000    
0.8314  0.6159  0.2933  0.5500  0.5458  0.7500  0.0000    
0.9529  0.4338  0.6065  0.1900  0.3271  1.0000  0.0000    
0.7373  0.4944  0.4550  0.1300  0.0878  1.0000  0.0000    
0.7255  0.5004  0.4638  0.1200  0.5213  1.0000  0.0000    
0.0039  0.5712  0.2567  0.1700  0.2153  0.5000  0.0000    
0.8353  0.0000  0.2445  0.4500  0.6741  0.2500  0.0000    
0.9216  0.5748  0.7127  0.8700  1.0000  1.0000  0.0000    
0.7608  0.5559  0.5690  0.4800  0.9310  0.7500  0.0000    
0.8588  0.5429  0.4800  0.7900  0.1627  1.0000  0.0000    
0.7098  0.5869  0.3362  0.2500  0.5827  1.0000  0.0000    
0.0039  0.5901  0.2562  0.0000  0.0988  1.0000  0.0000    
0.0039  0.5841  0.3425  0.1500  0.0542  1.0000  0.0000    
0.8784  0.0000  0.4270  0.0700  0.0803  0.7500  0.0000    
0.8471  0.1007  0.3760  0.3900  0.0887  0.2500  0.0000    
1.0000  0.5748  0.3997  0.3600  0.7677  1.0000  0.0000    
0.7020  0.6778  0.2223  0.2000  0.1106  1.0000  0.0000    
0.0039  0.6968  0.2000  0.2200  0.0479  0.7500  0.0000    
0.0039  0.6518  0.1800  0.2100  0.3037  1.0000  0.0000    
0.0039  0.5176  0.4640  0.2100  0.0805  0.7500  0.0000    
0.5608  0.5969  0.2835  0.0800  0.2373  1.0000  0.0000    
0.0039  0.5648  0.2702  0.1100  0.0873  1.0000  0.0000    
0.0039  0.5369  0.3287  0.0000  0.1544  0.7500  0.0000    
0.8039  0.5520  0.2918  0.3100  0.0753  1.0000  0.0000    
0.8235  0.0001  0.0003  0.3400  0.0531  0.7500  0.0000    
0.7098  0.6571  0.3095  0.0800  0.2650  1.0000  0.0000    
0.9647  0.5664  0.3252  0.5000  0.4994  1.0000  0.0000    
0.9333  0.1368  0.4602  0.8200  0.9863  1.0000  0.0000    
0.8588  0.0001  0.2178  0.9900  0.7143  1.0000  0.0000    
0.0039  0.7498  0.4018  0.0000  0.6262  0.0000  0.0000    
0.8471  0.8484  0.3960  0.4600  0.5724  1.0000  0.0000    
0.8549  0.1279  0.3842  0.1500  0.9103  0.0000  0.0000    
0.9529  0.0001  0.0003  0.1900  0.4012  1.0000  0.0000    
0.8941  0.8635  0.2863  1.0000  0.7650  1.0000  0.0000    
0.7020  0.7252  0.4105  0.1800  0.4229  0.0000  0.0000    
0.8667  0.8656  0.3287  0.7900  0.5065  1.0000  0.0000    
0.8431  0.7518  0.3907  0.1800  0.6335  1.0000  0.0000    
0.8078  0.6796  0.6332  0.5200  0.4331  1.0000  0.0000    
0.9333  0.0001  0.0003  0.6100  0.8682  1.0000  0.0000    
0.9020  0.6971  0.6817  0.8200  0.9252  1.0000  0.0000    
0.0039  0.7965  0.2783  0.4400  0.0546  0.0000  0.0000    
0.8667  0.7712  0.3445  0.5000  0.2758  1.0000  0.0000    
0.9333  0.0001  0.0003  0.4700  0.3248  0.0000  0.0000    
0.9529  0.0000  0.2883  0.4400  0.1121  0.2500  0.0000    
0.8549  0.8917  0.5118  0.3900  0.9869  0.7500  0.0000    
0.7333  0.8421  0.2463  0.4700  0.4302  0.0000  0.0000    
0.0039  0.8148  0.1935  0.1300  0.0848  0.7500  0.0000    
0.9333  0.6257  0.7188  1.0000  1.0000  1.0000  0.0000    
0.0039  0.7382  0.3575  0.1300  0.9998  0.7500  0.0000    
0.9961  0.0001  0.4607  1.0000  0.9441  1.0000  0.0000    
0.8667  0.0001  0.0003  1.0000  0.9999  0.2500  0.0000    
0.9373  0.0001  0.4965  0.8200  0.9958  0.7500  0.0000    
0.7098  0.5679  0.8365  0.3000  0.7354  0.0000  0.0000    
0.9294  0.0001  0.4053  0.8700  0.5632  1.0000  0.0000    
0.9255  0.0001  0.3232  0.6800  0.6892  1.0000  0.0000    
0.8588  0.0000  0.4512  0.8800  0.3077  1.0000  0.0000    
0.8314  0.0000  0.5775  0.4700  0.1014  1.0000  0.0000    
0.0039  0.7551  0.3480  0.2100  0.1072  0.2500  0.0000    
0.6196  0.6498  0.5840  0.0000  0.4003  0.0000  0.0000    
0.0039  0.8587  0.2310  0.2500  0.1237  0.0000  0.0000    
0.8627  0.7394  0.4465  0.1900  0.1990  1.0000  0.0000    
0.6980  0.9431  0.2020  0.0000  0.0885  0.0000  0.0000    
0.8039  0.0001  0.1995  0.1500  0.6392  1.0000  0.0000    
1.0000  0.0000  0.2990  0.5200  0.0936  1.0000  0.0000    
0.9451  0.0000  0.4253  0.5400  0.1818  0.0000  0.0000    
1.0000  0.9809  0.2813  0.9500  0.3754  1.0000  0.0000    
0.8902  0.7891  0.3360  0.0000  0.3121  0.5000  0.0000    
0.8275  0.7787  0.3800  0.1800  0.1405  1.0000  0.0000    
0.7529  0.8079  0.3210  0.1000  0.0543  1.0000  0.0000    
0.9059  0.6348  0.5900  0.0000  0.1648  1.0000  0.0000    
0.8784  0.6987  0.4838  0.5400  0.6911  1.0000  0.0000    
0.0039  0.8484  0.2850  0.2000  0.0708  1.0000  0.0000    
0.8235  0.0000  0.3093  0.1400  0.0658  1.0000  0.0000    
0.8118  0.1405  0.2928  0.2800  0.2593  0.7500  0.0000    
1.0000  0.7274  0.5128  0.6400  0.2195  1.0000  0.0000    
0.7922  0.8362  0.2840  0.2500  0.3243  1.0000  0.0000    
0.7686  0.7753  0.3573  0.0000  0.1122  0.7500  0.0000    
0.8078  0.0000  0.2158  0.5600  0.0467  0.0000  0.0000    
0.9059  0.0001  0.3292  0.3300  0.1180  0.5000  0.0000    
0.8784  0.7927  0.5860  0.2900  0.8944  1.0000  0.0000    
0.0039  0.8099  0.2110  0.2800  0.0568  0.7500  0.0000    
0.9529  0.0000  0.9732  0.3100  0.9991  1.0000  0.0000    
0.8745  0.0001  0.5908  0.8200  0.7744  0.2500  0.0000    
0.8431  0.0001  0.0003  0.5600  0.9880  0.0000  0.0000    
0.0039  0.8294  0.2145  0.1800  0.0858  0.0000  0.0000    
0.8118  0.0000  0.3555  0.7500  0.1714  1.0000  0.0000    
0.8784  0.5604  0.8040  0.3100  0.4538  1.0000  0.0000    
0.8941  0.0001  0.6637  0.1900  0.9209  0.5000  0.0000    
0.9373  0.0000  0.4315  0.9100  0.7080  1.0000  0.0000    
0.8549  0.0000  0.4545  0.8900  0.1414  0.0000  0.0000    
0.8588  0.0000  0.3927  0.4800  0.9210  0.2500  0.0000    
0.6745  0.7381  0.4733  0.0900  0.2937  0.2500  0.0000    
0.8196  0.8054  0.3770  0.2200  0.2917  1.0000  0.0000    
0.8588  0.0001  0.0003  0.6700  0.9204  0.0000  0.0000    
0.6196  0.8430  0.2020  0.3200  0.0843  0.0000  0.0000    
0.8314  0.0000  0.3257  0.2200  0.0953  1.0000  0.0000    
1.0000  0.0001  0.0003  0.4400  0.1649  1.0000  0.0000    
0.7725  0.8967  0.3167  0.2400  0.2509  0.0000  0.0000    
0.9176  0.8048  0.2542  0.9400  0.2044  1.0000  0.0000    
0.9294  0.8538  0.3880  0.1900  0.0785  1.0000  0.0000    
0.6510  0.7639  0.3580  0.0000  0.1096  0.0000  0.0000    
0.9098  0.9095  0.3078  0.2700  0.1197  1.0000  0.0000    
0.7529  0.8079  0.3530  0.2400  0.1095  1.0000  0.0000    
0.8863  0.6522  0.5965  0.0000  0.0939  1.0000  0.0000    
0.9529  0.8133  0.3645  0.2900  0.2117  1.0000  0.0000    
1.0000  0.0001  0.5130  0.0500  0.1734  1.0000  0.0000    
0.8784  0.8042  0.2293  0.3300  0.4408  1.0000  0.0000    
0.8039  0.8191  0.4650  0.3000  0.1086  1.0000  0.0000    
0.9098  0.0001  0.0003  0.2500  0.1227  1.0000  0.0000    
0.0039  0.8792  0.3110  0.0000  0.2162  0.0000  0.0000    
0.8627  0.7768  0.3985  0.2500  0.1410  1.0000  0.0000    
0.8353  0.0001  0.3125  0.6200  0.0422  1.0000  0.0000    
0.8353  0.0000  0.4078  0.2600  0.0996  0.0000  0.0000    
0.8314  0.2846  0.4000  0.4800  0.5030  0.0000  0.0000    
0.9059  0.8232  0.5450  0.4900  0.9333  1.0000  0.0000    
0.9333  0.6085  0.6440  0.4100  0.9208  0.7500  0.0000    
0.8667  0.0000  0.8595  0.6200  0.9995  1.0000  0.0000    
0.8078  0.0000  0.4805  0.8700  0.9057  0.0000  0.0000    
0.8784  0.0001  0.0003  1.0000  0.9969  1.0000  0.0000    
0.8784  0.0000  0.5677  0.0800  0.2095  1.0000  0.0000    
0.8706  0.6090  0.6923  0.0000  0.3870  0.2500  0.0000    
0.8039  0.0000  0.2863  0.4800  0.1540  0.0000  0.0000    
0.6588  0.8349  0.3103  0.7900  0.5746  0.0000  0.0000    
0.6745  0.7756  0.3553  0.0000  0.1267  0.2500  0.0000    
0.9294  0.0001  0.0003  0.2800  0.3859  1.0000  0.0000    
0.8431  0.8398  0.3932  0.3000  0.4832  1.0000  0.0000    
0.9216  0.8625  0.5290  0.5700  0.2516  1.0000  0.0000    
1.0000  0.8683  0.3663  0.3200  0.2016  1.0000  0.0000    
0.8392  0.0290  0.3895  0.5300  0.0646  0.0000  0.0000    
1.0000  0.0001  0.0003  0.1900  0.1441  0.5000  0.0000    
0.0039  0.7423  0.3180  0.0000  0.1398  0.0000  0.0000    
0.8588  0.7734  0.3942  0.4700  0.2892  1.0000  0.0000    
0.8510  0.0001  0.2968  0.6700  0.0487  0.7500  0.0000    
0.8627  0.0001  0.3040  0.0900  0.1768  0.0000  0.0000    
0.9059  0.7897  0.4020  0.3800  0.7302  1.0000  0.0000    
0.8627  0.7251  0.5285  0.1400  0.2372  1.0000  0.0000    
0.0039  0.8251  0.1700  0.3900  0.1328  1.0000  0.0000    
0.7059  0.7208  0.5530  0.1100  0.9861  0.5000  0.0000    
0.9412  0.0000  0.5940  0.6200  0.9984  1.0000  0.0000    
0.8314  0.0000  0.3523  0.2800  0.5984  0.0000  0.0000    
0.0039  1.0000  0.1772  0.0900  0.0734  0.0000  0.0000    
0.8039  0.0000  0.3960  0.4700  0.2161  0.2500  0.0000    
0.8588  0.0000  0.4605  0.0500  0.3165  1.0000  0.0000    
0.8235  0.0001  0.3882  0.8500  0.1485  0.2500  0.0000    
0.7725  0.5528  0.8087  0.0000  0.4984  0.0000  0.0000    
0.9255  0.0001  0.3643  0.2800  0.7333  1.0000  0.0000    
0.8275  0.0000  0.3785  0.8000  0.1191  0.0000  0.0000    
0.7686  0.8044  0.2135  0.0000  0.1581  0.2500  0.0000    
0.7137  0.7630  0.3825  0.1600  0.1395  0.7500  0.0000    
0.8000  0.7660  0.3463  0.2100  0.1095  0.0000  0.0000    
0.6941  0.7342  0.3932  0.2500  0.6320  0.0000  0.0000    
0.7569  0.7882  0.2898  0.3300  0.5342  1.0000  0.0000    
0.8275  0.0000  0.5065  0.4500  0.7695  0.5000  0.0000    
1.0000  0.0294  0.3735  0.4600  0.2223  1.0000  0.0000    
0.8980  0.9431  0.3770  0.2400  0.2564  1.0000  0.0000    
0.8431  0.8322  0.3595  0.2300  0.1067  1.0000  0.0000    
0.8627  0.8194  0.4030  0.4000  0.1681  0.7500  0.0000    
0.9294  0.0000  0.6200  0.1500  0.8235  0.2500  0.0000    
0.8471  0.0001  0.0003  0.1200  0.0416  0.0000  0.0000    

